"The Matrix Revolutions"%2003%"Wachowski Brothers"%"Hugo"%"Weaving"
"The Matrix Revolutions"%2003%"Wachowski Brothers"%"Keanu"%"Reeves"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Orlando"%"Bloom"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Liv"%"Tyler"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Hugo"%"Weaving"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Viggo"%"Mortensen"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Ian"%"McKellen"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Elijah"%"Wood"
"The Lord of the Rings: The Fellowship of the Ring"%2001%"Peter Jackson"%"Sean"%"Astin"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Orlando"%"Bloom"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Hugo"%"Weaving"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Viggo"%"Mortensen"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Ian"%"McKellen"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Orlando"%"Bloom"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Hugo"%"Weaving"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Viggo"%"Mortensen"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Ian"%"McKellen"
"Crouching Tiger Hidden Dragon"%2000%"Ang Lee"%"Zhang"%"Ziyi"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"Andy"%"Garcia"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"Brad"%"Pitt"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"Catherine"%"Zeta-Jones"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"Matt"%"Damon"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"Julia"%"Roberts"
"Ocean's Eleven"%2001%"Steven Soderbergh"%"George"%"Clooney"
"Titanic"%1997%"James Cameron"%"Kate"%"Winslet"
"Titanic"%1997%"James Cameron"%"Leonardo"%"DiCaprio"
"American Beauty"%1999%"Sam Mendes"%"Thora"%"Birch"
"American Beauty"%1999%"Sam Mendes"%"Mena"%"Suvari"
"Shakespeare in Love"%1998%"John Madden"%"Joesph"%"Fiennes"
"Mystic River"%2003%"Clint Eastwood"%"Sean"%"Penn"
"Mystic River"%2003%"Clint Eastwood"%"Emmy"%"Rossum"
"Mystic River"%2003%"Clint Eastwood"%"Tim"%"Robbins"
"Catch Me If You Can"%2002%"Steven Spielberg"%"Leonardo"%"DiCaprio"
"Catch Me If You Can"%2002%"Steven Spielberg"%"Tom"%"Hanks"
"8 Mile"%2002%"Curtis Hanson"%"none"%"Eminem"
"Alien"%1979%"Ridley Scott"%"Sigourney"%"Weaver"
"Aliens"%1986%"James Cameron"%"Sigourney"%"Weaver"
"Alien3"%1992%"David Fincher"%"Sigourney"%"Weaver"
"Bowling for Columbine"%2002%"Michael Moore"%"Michael"%"Moore"
"Braveheart"%1995%"Mel Gibson"%"Mel"%"Gibson"
"Saving Private Ryan"%1998%"Steven Spielberg"%"Tom"%"Hanks"
"The Mask"%1994%"Chuck Russell"%"Jim"%"Carrey"
"Dogma"%1999%"Kevin Smith"%"Matt"%"Damon"
"Starship Troopers"%1997%"Paul Verhoeven"%"Casper"%"Van Dien"
"Men In Black"%1997%"Barry Sonnenfeld"%"Will"%"Smith"
"Men in Black II"%2002%"Barry Sonnenfeld"%"Will"%"Smith"
"The Mummy"%1999%"Stephen Sommers"%"Brendan"%"Fraser"
"The Mummy Returns"%2001%"Stephen Sommers"%"Brendan"%"Fraser"
"Blast From the Past"%1999%"Hugh Wilson"%"Brendan"%"Fraser"
"Indiana Jones and the Temple of Doom"%1984%"Steven Spielberg"%"Harrison"%"Ford"
"Indiana Jones and the Last Crusade"%1989%"Steven Spielberg"%"Sean"%"Connery"
"Indiana Jones and the Last Crusade"%1989%"Steven Spielberg"%"Harrison"%"Ford"
"The Godfather"%1972%"Francis Ford Coppola"%"Marlon"%"Brando"
"The Godfather"%1972%"Francis Ford Coppola"%"Diane"%"Keaton"
"The Godfather"%1972%"Francis Ford Coppola"%"James"%"Caan"
"The Godfather"%1972%"Francis Ford Coppola"%"Al"%"Pacino"
"Scarface"%1983%"Brian De Palma"%"Al"%"Pacino"
"Scarface"%1983%"Brian De Palma"%"Michelle"%"Pfeiffer"
"Scarface"%1983%"Brian De Palma"%"Steven"%"Bauer"
"Boiler Room"%2000%"Ben Younger"%"Giovanni"%"Ribsi"
"Boiler Room"%2000%"Ben Younger"%"Scott"%"Caan"
"Boiler Room"%2000%"Ben Younger"%"Nia"%"Long"
"Boiler Room"%2000%"Ben Younger"%"Nicky"%"Katt"
